;user_id;tweet_id;location;source;hashtags
4726;1028445037590441984;1190029443969863680;Mexico;Twitter for Android;'???', 'RM', 'MAMAVOTE', 'BTS'
4727;1049639228399734784;1190029443424817153;Indonesia;Twitter for iPhone;
4740;1094279976415830016;1190029457526001666;Mexico;Twitter for Android;
4764;1113333791899021312;1190029472461926400;???? ??;Twitter for iPhone;'?????', 'BTS'
4807;1026236967569293312;1190029501876584449;United States;Twitter for iPhone;'2019MAMA', '?????', 'BTS', 'BTS'
4847;1113930913451110400;1190029534256599042;???? ??;Twitter for iPhone;'?????', 'BTS'
4888;2806453452;1190029578166833152;??;Twitter for Android;'BTS', 'Lights', 'BoyWithLove'
4893;1138994823782944768;1190029581425795077;Mexico;Twitter for iPhone;
4926;1031022862772125696;1190029605966614528;Brasil;Twitter for Android;'MAMAVOTE', 'BTS'
4935;1054145246597017600;1190029613378002944;????;Twitter for Android;'JIMIN???????', 'JIMIN?????', 'JIMIN?????', '??', 'JIMIN', 'BTS', '?????'
4954;1162215684455055361;1190029626627821570;United States;Twitter for Android;'MAMAVOTE', 'bts'
4965;2444871192;1190029633493843968;Indonesia;Twitter for Android;'?????', 'BTS', '???', 'RM', 'NAMJOON'
4982;3277741897;1190029651432882177;Mexico;Twitter for Android;
4985;1147479501430906880;1190029652666068995;?????????;Twitter for Android;'??', 'JUNGKOOK', 'JK', '?', 'V', 'TAEHYUNG', '??', 'VKOOK', 'KOOKV', '??'
5021;889695880663756800;1190029676493885446;United States;Twitter for Android;'MAMAVOTE', 'bts'
5040;926301039506149378;1190029692063105024;Mexico;Twitter for Android;
5053;1146485655397998592;1190029704956465152;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
5054;1052801698039623680;1190029705178693632;????;Twitter for Android;'2019MAMA'
5068;2524060926;1190029713554755585;????;Twitter for Android;
5080;1016898732132974592;1190029723822223363;Republic of the Philippines;Twitter for Android;'?????', 'BTS'
5083;904072170359230464;1190029726032642048;Indonesia;Twitter for Android;'BTS'
5085;2990630048;1190029726703857664;Indonesia;Twitter for Android;
5107;861567756604293120;1190029738305302528;Indonesia;Twitter for iPhone;'JIMIN', 'BTS'
5135;1034697811655180288;1190029755468242944;??;Twitter for Android;
5154;1144378119840784402;1190029772887396353;Brasil;Twitter for Android;
